,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. General public services,51.9,47.9,46,49.1,53.1,55.5,56.6,58.5,61.6,55.4,67.8,67.7,62,62.5,59.5,59.2
of which: public and common services,10.6,12.2,12.7,13.8,15,15.4,14.8,14.3,15.5,15.1,13.8,12.2,11.7,11.5,11.7,11.3
of which: international services,5.6,5.7,5.8,6.5,6.8,7.5,7.4,7.6,7.1,7.8,8.4,8.2,8,10,10.6,10.4
of which: public sector debt interest,35.7,30,27.4,28.8,31.4,32.6,34.4,36.6,39,32.5,45.7,47.3,42.3,41,37.3,37.5
2. Defence,34.5,33.7,35,36.5,36.8,37.3,37.6,38.4,40.9,41.3,42.3,41,37.8,37.2,37,36.6
3. Public order and safety,27.4,30.6,31.6,33.5,35.2,35.3,35.5,36.2,37.4,37.4,35.6,34,32.5,30.2,30.1,29.5
4. Economic affairs,32,36.7,39.8,42,41.5,42.5,43.8,42.7,55.2,53.3,43,40.1,37.9,40.9,40.7,47.1
 of which: enterprise and economic development,6.6,6.8,7.7,7.6,8,7.7,7.4,8.1,18,13.4,5.3,5.1,5.2,6.3,5.6,6.5
of which: science and technology,1.9,2.3,2.7,2.9,3.1,3.6,3.4,3.8,3.6,3.9,3.7,3.8,3.5,4.3,4.5,4.8
of which: employment policies,5.1,4.4,3.9,4.1,4,4,3.9,2.4,3.9,4.5,5.1,3.4,3,3.7,3.2,2.4
"of which: agriculture, fisheries and forestry",6.3,8.4,6.4,6.7,6.7,6.7,6,4.9,6.4,6.4,5.9,6.1,5.5,5.5,5.2,4.5
of which: transport,12.1,15,19.2,20.7,19.8,20.5,23.2,23.5,23.3,25.2,23.1,21.7,20.7,21.1,22.2,28.9
5. Environment protection,6.9,7.2,7.8,7.9,8.6,10.2,11,10.9,10.2,11.4,11.7,11.1,11.1,11.4,11.7,11.6
6. Housing and community amenities,7.4,8.2,7,8.5,9.9,12.9,13.4,14.8,17,17.9,14.3,10.8,10.3,10,10.3,10.1
7. Health,72.8,79.3,85.9,95,102.4,108.1,110.6,115.3,120.7,128,129,128.6,129.2,132.3,134.8,138.5
"8. Recreation, culture and religion",10.5,11.4,12.1,12.3,12.4,13,13.3,13.6,13.8,14.5,14,13.2,13.2,11.7,12.5,10.9
9. Education,61.7,67.9,70.9,77.4,80.4,84,85.3,89.8,92.2,96.9,98.4,91.7,87.5,87.2,86.4,83.2
10. Social protection,172.6,182.2,188.5,197.4,202.8,205.8,206.8,215.1,225.9,244.3,247.8,259.8,263.3,259.6,262.8,265.1
EU transactions,-3.5,-6.4,-2.5,-2.7,-1.1,-0.7,-2.1,-1.7,-3.2,1,6.3,4.6,7,7.4,6.3,7.7
Public sector expenditure on services,474.1,498.8,522.1,556.9,582.2,603.8,611.8,633.5,671.6,701.3,710.3,702.7,691.8,690.5,692.1,699.5
Accounting adjustments,29.1,31,37.7,36.3,47.4,48.3,52.5,54.7,60.4,57.9,58.8,57.1,68.8,62.8,65.5,54.5
Total Managed Expenditure,503.2,529.9,559.8,593.2,629.5,652.1,664.3,688.2,732,759.2,769.2,759.8,760.6,753.3,757.6,753.9
