Country,2016(Q2)
Turkey,21.1
Finland,66.9
Germany,53.4
Hong Kong SAR,66.4
Netherlands,111.3
Denmark,123.6
Japan,65.9
Russia,16
Poland,36.8
Portugal,75.7
Norway,98.9
Belgium,59.7
Saudi Arabia,15.3
Argentina,6
Brazil,25.3
Hungary,20.7
Malaysia,70.7
Mexico,16.3
New Zealand,94
Spain,66.7
China,41.8
Greece,61.5
Italy,41.8
Chile,40.8
France,56.7
Korea,90
South Africa,35.3
Luxembourg,59.5
United States,78.8
Israel,41.3
Switzerland,127.7
IN:India,10.3
Canada,99.8
Austria,50.8
Australia,123
Czech Republic,30.7
Sweden,84.9
Singapore,61.1
Thailand,71.2
United Kingdom,87.6
Indonesia,16.8
Ireland,57.7
